FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 17:15:24.023738
FB Englischer Garten;7;93;2016-12-18 17:15:24.023749
FB Geowissenschaften;13;87;2016-12-18 17:15:24.023759
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 17:15:24.023772
FB Historicum;31;69;2016-12-18 17:15:24.023783
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 17:15:24.023793
FB Medizinische Lesehalle;52;48;2016-12-18 17:15:24.023803
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 17:15:24.023813
FB Theologie und Philosophie;39;61;2016-12-18 17:15:24.023825
FB Wirtschaftswissenschaften und Statistik;9;91;2016-12-18 17:15:24.023835
Allgemeiner Lesesaal (Zentralbibliothek);34;66;2016-12-18 17:30:28.535535
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 17:30:28.535606
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 17:30:28.535623
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 17:30:28.535636
FB Englischer Garten;4;96;2016-12-18 17:30:28.535646
FB Geowissenschaften;13;87;2016-12-18 17:30:28.535657
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 17:30:28.535667
FB Historicum;31;69;2016-12-18 17:30:28.535677
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 17:30:28.535690
FB Medizinische Lesehalle;42;58;2016-12-18 17:30:28.535700
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 17:30:28.535710
FB Theologie und Philosophie;39;61;2016-12-18 17:30:28.535722
FB Wirtschaftswissenschaften und Statistik;9;91;2016-12-18 17:30:28.535732
Allgemeiner Lesesaal (Zentralbibliothek);34;66;2016-12-18 17:45:25.511344
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 17:45:25.511456
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 17:45:25.511493
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 17:45:25.511522
FB Englischer Garten;4;96;2016-12-18 17:45:25.511548
FB Geowissenschaften;13;87;2016-12-18 17:45:25.511572
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 17:45:25.511595
FB Historicum;22;78;2016-12-18 17:45:25.511621
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 17:45:25.511643
FB Medizinische Lesehalle;42;58;2016-12-18 17:45:25.511668
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 17:45:25.511692
FB Theologie und Philosophie;22;78;2016-12-18 17:45:25.511719
FB Wirtschaftswissenschaften und Statistik;7;93;2016-12-18 17:45:25.511743
Allgemeiner Lesesaal (Zentralbibliothek);34;66;2016-12-18 18:00:30.366557
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 18:00:30.366607
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 18:00:30.366619
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 18:00:30.366629
FB Englischer Garten;4;96;2016-12-18 18:00:30.366637
FB Geowissenschaften;13;87;2016-12-18 18:00:30.366645
